ID,Source,Syllabary,Transliteration,English,Story,Chapter,Line,Author,Speaker,,,,,,,,,,,,,
484,ced,ᏗᏔᎴᏍᏗ ᎬᏗ ᎤᏔᎴᏒ ᏯᏖᎾ.,Ditalesdi gvhdi utalesv hyahtena.,He drilled a hole in the board with a drill.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
485,ced,ᏅᏯ ᏧᎾᏍᏗ ᎬᏗ ᏘᎧᎵᏣ ᏓᏔᎴᏒ ᏅᏃᎯ.,Nvya junsdi gvhdi tikalija datalesv nvnohi.,Fill the holes in the road with gravel.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
486,ced,ᏫᎬᎵᏗᏍᎩ ᏯᏙᏔᎾ ᎠᎹ ᎠᏔᏃᎴᎪᎢ.,Wigvlidisgi yatotana ama atanolegoi.,"When you heat water to its boiling point, it steams.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
487,ced,ᎯᎳ ᎢᏳᏕᏘᏴᏓ ᏤᏥ ᎠᏔᏄᏣ?,Hila iyudetiyvda jeji atanuja?,How old is your teenage daughter?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
488,ced,ᎪᏛ ᏭᏗᎾ ᎠᏓᏪᎳᎩᏍᎩ ᎤᏔᏍᎩᏒᎢ.,Gotv wudina adwelagisgi utasgisvi.,"When he threw the gunpowder into the fire, it exploded.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
489,ced,ᎧᏰᏉᎾ ᏅᎩᏁ ᏗᏔᏍᎩᏍᎩ ᏓᏂᏔᏍᎩᏗᏍᎪ ᏴᏫ.,Kayegwona nvhgine ditasgisgi danhtasgidisgo yvwi.,On July fourth people fire firecrackers.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
490,ced,ᎦᎾᏰᎪ ᎪᎦᏍᏗ ᏗᏔᏍᎩᏍᎩ ᏓᏍᏆᏂᎪᏛ ᎾᎥᎢ.,Ganayego goksdi ditasgisgi dasgwanigodv navi.,It's dangerous to smoke near a place where explosives are stored.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
491,ced,ᎤᏪᏥ ᎠᎨᏳᏣ ᎠᎬᏓᎨᏂ ᎤᏔᏪᏙᏅᎢ.,Uweji agehyuja agvdageni utawedonvi.,She kissed her daughter on the forehead.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
492,ced,ᎤᏪᏥ ᎠᏧᏣ ᎠᏔᏬᎠ.,Uweji achuja atawoa.,She's combing her son's hair.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
493,ced,ᏞᏍᏗ ᏱᏍᎦᎮᏍᏗ ᏣᏔᏲᏍᏗᎢ.,Hlesdi hyisgahesdi tstayosdii.,Don't be afraid to ask for it.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
494,ced,ᎠᏂᏲᏍᎩ ᎤᏖᎳᏗᏍᏗ ᎤᏚᎵᎭ.,Aniyosgi uteladisdi uduliha.,He wants to join the military service.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
495,ced,ᏗᏖᎵᏙ ᏕᎬᏗᏰᎠ.,Ditelido degvdiyea.,She is washing dishes.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
496,ced,ᏞᏍᏗ ᏥᎯᏖᎸᏂ ᎠᏴᏠ.,Hlesdi jihitelvhni ayvhdlo.,Don't shake the ladder.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
497,ced,ᎠᏘᏟᏗ ᎤᏬᏢᏅ ᎠᏂᏁᎵ ᎤᎿᏬᏍᏗ.,Atihldi uwohlvhnv anineli uhnawosdi.,She made a shirt for her husband to wear.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
498,ced,ᏗᎨᏫ ᎠᏍᎦᏯ ᎠᏘᏂ.,Dikewi asgaya atihni.,He's leading a blind man.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
499,ced,ᎦᏙ ᏥᏣᎸᏉᏗ ᏣᏘᏲᏍᏗ?,Gado jijalvkwdi jatiyosdi?,Why do you like to argue?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
500,ced,ᏂᎪᎯᎸ ᎠᏘᏲᏍᏗ ᎤᏲᎰᎢ.,Nigohilv atiyosdi uhyohoi.,He's always looking for an argument.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
501,ced,ᎩᎶ ᏛᏟ.,Kilo dvtli.,Someone is running in this direction.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
502,ced,ᎦᎪ ᏱᏓᏓᎩᏯ ᏱᏍᏓᏙᎩᏯ?,Gago yidadakiya yisdatohgiya?,Who would win if you two raced?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
503,ced,Ꮎ ᎠᏍᎦᏯ ᏥᎦᏬᏂ ᎠᎹᏰᏟ ᎤᎬᏫᏳᎯ ᏱᎦᎵᏍᏗᏍᎩ ᎠᏙᎩᏯᏍᎩ.,Na asgaya jigawoni Amayehli ugvwiyuhi yigalsdisgi atohgiyasgi.,The man making he speech is a candidate for president of the United States.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
504,ced,ᎠᏙᎵᏓᏍ ᎯᎠ ᏗᏓᏟᎶᏍᏗᏍᎩ?,Atolidas hia didahlilosdisgi?,Is this camera borrowed?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
505,ced,ᎦᎪ ᎤᏙᎵᏍᏔᏁᎢ Ꮎ ᏓᏆᎴᎳ?,Gago utolstanei na dagwalela?,Who loaned him the car?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
506,ced,ᎯᎳ ᎢᎪᎯᏓ ᎤᏙᏟᏍᏗ ᎤᏚᎵ?,Hila igohida utohlisdi uduli?,How long does he want to borrow it?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
507,ced,ᎪᎱᏍᏗ ᎠᏙᏯᏩᏍᎬ ᏥᎪᏩᏘᎭ.,Gohusdi atoyawsgv jigowhtiha.,I see something flashing.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
508,ced,ᏎᎷ ᎦᏚ ᎤᏥᏍᏕᎥᎢi.,Selu gadu utsdevi.,He took a bite of cornbread.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
509,ced,ᏍᏆᏥᎪᏁᎭᏍ?,Sgwatsgonehas?,Are you lying to me?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
510,ced,Ꮭ ᏳᎸᏉᏗ ᎤᏚᎩᏍᏗ.,Hla yulvkwdi utugisdi.,He doesn't like to take a drink.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
511,ced,ᎠᏚᎩᏍᏗ ᎤᏁᏁᎸᎢ.,Atugisdi unehnelvi.,He gave him a drink.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
512,ced,ᏐᎢ ᎧᎴᏍᏗ ᎤᏪᏓᏍᏗ ᎤᏚᎢᏍᏔᏅᎢ.,Soi kalesdi uwedasdi utuistanvi.,He promised to come over next month.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
513,ced,ᏍᎪᎯ ᎢᏯᏔᏬᏍᏔᏅ ᎢᎪᎯᏓ ᏥᏯᏛᏓᏍᏔᏅ ᎦᏬᏂᏍᎬᎢ.,Sgohi iyatahwostanv igohida jiyatvdastanv gawonisgvi.,I listened to him speak for ten minutes.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
514,ced,ᎯᏯᏛᏛᎲᎦ ᏂᏗᏛᏁᎵᏒᎢ.,Hiyatvdvhvga nididvnelisvi.,Ask him what he's going to do.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
515,ced,ᏍᏓᏯ ᏱᎦᏬᏂᏌ ᎩᎳ ᎠᏛᎩᏍᎪᎢ.,Sdaya yigawonisa kila atvgisgoi.,He hears only when you speak loud.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
516,ced,ᏧᏃᏚᎯ ᎠᏂᏥᎸᏍᎩ ᏓᏛᎯᏍᏗᏍᎪᎢ.,Junoduhi anijilvsgi datvhisdisgoi.,She grows beautiful flowers.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
517,ced,ᎤᏙᎯᏳ ᎠᏛᏍᎦ.,Udohiyu atvsga.,He is really growing.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
518,ced,ᎯᏲᎵᎦᏍ Ꮎ ᎠᏫᎾ?,Hiyoligas na awina?,Do you recognize that young man?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
519,ced,Ꮭ ᏯᏆᏅᏖ ᎠᏂᏔᎵ ᎠᏂᏫᏄᏣ ᏕᏣᎧᎲᎢ.,Hla yagwanhte anitali aniwinuja dejakahvi.,I didn't know you had two teenage boys.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
520,ced,ᎣᏓᎸ ᎦᎸᎳᏗ ᏓᎾᏁᏍᏓᏝᎲᏍᎪ ᎠᏬᎭᎵ.,Odalv galvladi danahnesdahlahvsgo awohali.,Eagles build their nests on mountain tops.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
521,ced,ᎠᏯᏍ ᎠᏇᏅᏍᏗ ᏣᏚᎵ?,Ayas agwenvsdi jaduli?,Do you want me to go?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
522,ced,ᎦᏙ ᎤᏍᏗ ᎧᏅᏑᎸ ᎠᏯᎠ?,Gado usdi kanvsulv ayaa?,Which room is he in?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
523,ced,ᎠᏯᏄᎵ ᎠᎢᏒᎢ.,Ayanuli aisvi.,He was walking fast.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
524,ced,ᏥᏈᏍᏗ ᏄᎾᏛᏅ ᏴᏫ ᎤᏯᏙᏢ ᎠᎵᏍᏓᏴᏗ.,Tsgwisdi nunadvhnv yvwi uyatohlv alsdayhdi.,He distributed food among a lot of people.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
525,ced,"ᎦᎶᏂ ᏔᎵᏍᎪ ᎯᏍᎩᏁ, ᏐᏁᎳᏚ ᎢᏍᎪᎯᏥᏆ ᎦᎵᏆᏍᎪ ᏦᎢ ᎠᏯᏙᎯᎯ ᏄᎵᏍᏔᏅᎢ.","Galohni talsgo hisgine, sohneladu isgohitsgwa gahlgwasgo joi ayatohihi nulstanvi.","He became a deacon on August 25, 1973.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
526,ced,ᎯᎳ ᎠᏯᏙᏢ ᎯᎪᎵᏰᎠ?,Hila ayatohlv higoliyea?,Which chapter are you reading?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
527,ced,"ᎯᏰᎩ ᎠᎪᏎᎳ, ᎤᏰᏨᎢ.","Hiyegi agosela, uyejvi.","When he was told to wake up, he woke up.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
528,ced,ᎠᎭᏂ ᎠᏰᏟ ᏦᏞᏍᏗ.,Ahani ayehli johlesdi.,Sit here in the middle.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
529,ced,ᏞᏍᏗ ᏥᎯᏰᎢᏍᏔᏂ ᎤᏍᏗᎢ.,Hlesdi jihiyeistani usdii.,Don't wake the baby.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
530,ced,ᎠᏰᏟ ᎢᏴ ᎠᏰᎸ ᏚᎴᏴᏒᎢ.,Ayehli iyv ayelv duleyvsvi.,He burned half of his body.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
531,ced,ᏐᏈᎵ ᎤᏂᏴᏍᏗ ᎤᏴᏔᏅ ᏐᏈᎵ.,Sogwil uniyvsdi uyhtanv sogwili.,He put the horse inside the barn.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
532,ced,ᏣᏛᎦᏅᎢᏍ ᏥᏔᎦ ᎠᎩᏏ ᎠᏴᎬᎢ?,Tstvganvis jitaga agisi ayhgvi?,Have you heard a hen crowing?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
533,ced,ᎡᎳᏗ ᏩᏯ ᏗᎪᏪᎶᏗ.,Eladi waya digohwelodi.,She picked up a pencil from the ground.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
534,ced,ᎯᏍᎩ ᏗᏤ ᏗᎪᏪᎶᏗ ᏚᏴᎲ ᏗᏓᎾᏅᎢ.,Hisgi dije digohwelodi duyvhv didananvi.,He got five new pencils from the store.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
535,ced,ᎠᎹ ᎤᏤᏩᏍᏙᏔᏅ ᎠᏲᏓᏝᎲᎢ.,Ama ujewasdohtanv ayodahlahvi.,She accidently spilled water on the floor.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
536,ced,ᎫᎫ ᎤᏲᏨ ᎤᏬᎰᏌ.,Gugu uyojv uwohosa.,The bottle broke when it dropped.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
537,ced,ᎦᏃᎭᎵᏙ ᎦᏟᏓ ᎬᏗ ᎤᏲᏢ ᎠᏫ.,Ganohalido gahlida gvhdi uyohlv ahwi.,The hunter shot a deer with an arrow.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
538,ced,ᎯᎳ ᎠᏟᎢᎵᏒ ᎯᏲᎯᏍᏗᏍᎪ ᏕᏣᎸᏫᏍᏓᏁᎲ?,Hila ahliilisv hiyohisdisgo dejalvhwisdanehv?,What time do you take a break from your work?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
539,ced,ᏗᏲᏟ ᏅᏯ ᏚᏭᏖᏒᎢ.,Diyohli nvya duwutesvi.,He picked up some small rocks.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
540,ced,ᏗᏂᏲᏟ ᏍᏆᎴᏍᏗ ᏓᎾᏁᎶᎲᏍᎦ.,Diniyohli sgwahlesdi dananelohvsga.,The children are playing ball.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
541,ced,ᎢᎸᏍᎩ ᎢᏯᏂᎢ ᎠᏂᏍᎦᏯ ᏗᏗᏍᏗ ᏓᏂᏲᏢᏍᎦ.,Ilvsgi iyanii anisgaya didisdi daniyohlvsga.,Several men are hewing railroad ties.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
542,ced,Ꮭ ᎩᎶ ᏴᎬᏗᏍᎦᎳᏍ ᎠᏲᎱᎯᏍᏗ.,Hla kilo yvgvdisgalas ayohuhisdi.,No one hides from death.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
543,ced,ᎯᎳ ᎢᏴ ᏥᎨᏒ ᎤᏲᎱᏎᎢ?,Hila iyv jigesv uyohusei?,When did he die?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
544,ced,ᏧᎾᏍᏗ ᎠᏂᏧᏣ ᎠᎾᏟᎲ ᎤᏲᎢᏍᏔᏅᎢ.,Junsdi anichuja anahlihv uyoistanvi.,He broke up a fight between the little boys.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
545,ced,ᏂᎪᎯᎸ ᏯᎩᎪᎭ ᎠᎩᏲᎵᎰᎢ.,Nigohilv yagigoha agiyolihoi.,"Every time he sees me, he greets me.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
546,ced,ᎠᎹ ᎠᏟᏍᏙᏗ ᎤᎸᏌᏗ ᎤᏲᏍᏙᏔᏅᎢ.,Ama adlisdohdi ulvsadi uyosdohtanvi.,He accidently broke a water glass.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
547,ced,ᏦᎢ ᏧᏖᏗᏴᏓ ᏥᏲᏍᎩ ᎨᏒᎢ.,Joi jutediyvda jiyosgi gesvi.,I was a soldier for three years.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
548,ced,ᎤᏟᏂᎩᏓ ᎦᏃᎸᏍᎬ ᎤᏲᏍᏔᏃᏅ ᎤᏍᏗ ᎠᏓᏁᎸᎢ.,Uhlinigida ganolvsgv uyostanohnv usdi adanelvi.,The strong wind destroyed the small building.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
549,ced,ᎠᏲᎤᏟ ᎠᏍᎦᏯ ᎠᏙᎳᏅᏍᏗ ᎤᏔᏲᎸᎢ.,Ayouhli asgaya adolanvsdi utayohlvi.,a crippled man asked for a walking cane.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
550,ced,ᎦᎵᏦᏕ ᎠᎩᏴᏢ ᎤᎦᎿᏂᏝ.,Gahljode agiyvhlv ugahnanihla.,I entered the house when the rain came.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
551,ced,Ꮎ ᎠᏧᏣ ᎢᏤ ᎪᏍᏛᏂᏍᏗ ᎤᏴᏩᏛᎲᎢ.,Na achuja ije gosdvnisdi uyvhwahtvhvi.,The boy found a new bat.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
552,ced,ᎭᏢ ᏕᎯᏴᏫᏗ ᎠᏓ?,Hadlv dehiyvhwidi ada?,Where are you taking the wood?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
553,ced,ᏍᏚᏗ ᎬᏙᎠ ᎠᏴᏍᏙᏗ ᏠᎨᏏ.,Sdudi ktoa ayvsdohdi dlogesi.,There is a gate at the entrance to the pasture.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
554,ced,ᎦᏙ ᎠᎾᏛᏁ ᎠᏂᏴᏫ?,Gado anadvne aniyvwi?,What are the people doing?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
555,ced,ᎯᎠ ᎠᏧᏣ ᎠᎧᎵ ᎠᏴᏫᏯᎢ.,Hia achuja akali Ayvwiyai.,This boy is a full-blooded Indian.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
556,ced,ᏣᏛᎦᏅᎢᏍ ᎠᏲᏁᎦ ᏣᎳᎩ ᎦᏬᏂᏍᎬ?,Tstvganvis ayonega Jalagi gawonisgv?,Have you heard a white person speak Cherokee?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
557,ced,ᏣᏁᎳ ᎠᏕᎸ ᏘᎥᏏ.,Chanel adelv tivsi.,Give him eight dollars.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
558,ced,ᏥᏃᏍᎦ ᎠᎪᎲᏍᏗᏍᎪ ᎣᏏ ᎤᎦᎾᏬᎯᏍᏗᎢ.,Chinosga agohvsdisgo osi uganawohisdii.,He burns coal in his heating stove.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
559,ced,ᏧᎦᏍ ᏗᎯᏍᏙᏗ ᏣᏁᎭ?,Chuhgas dihisdohd janeha?,Do you have some flea killer?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
560,ced,ᏚᏙᎥ ᎤᏬᏪᎶᏗ ᎠᏍᏓᏅᏅ ᏚᏓᎿᏫᏍᏔᏅᎢ ᎾᎦᏔᎲᎾ ᎨᏒ ᎢᏳᏍᏗ ᎩᎵᏏ ᎤᏬᏪᎶᏗᎢ.,Dudov uwohwelodi asdanvhnv dudahnawstanvi naktahvna gesv iyusdi Gilisi uwohwelodii.,He made an X on the signature line because he didn't know how to write his name in English.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
561,ced,ᏓᏓᎿᏫᏍᏛ ᏅᏃᎯ ᏚᎾᏠᏒᎢ.,Dadahnawsdv nvnohi dunadlosvi.,They met at a crossroads.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
562,ced,ᏓᏓᏁᏎᏍᎬ ᎤᏮᏔᏂᏓᏍᏗ ᎤᏯᎸ ᏧᏓᏁᏎᏍᏗ ᎠᏥᏔᏲᏎᎳ.,Dadahnesesgv uwhtanidasdi uhyalv judahnesesdi ajitayosela.,He looked for his conjuring material when he was asked to conjure.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
563,ced,ᏚᏛᏓᏂᎸᏥᏍ ᎮᎵ?,Dodvdanilvjis heli?,Do you think he is going to accept?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
564,ced,ᎦᏙᎲ Ꮭ ᏱᏙᏣᏓᏅᏗᏍᏔᏁ?,Gadohv hla yidojadanvdistane?,Why didn't you dodge?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
565,ced,ᎤᏴᏟ ᎢᎦ ᏚᏓᏬᎥ ᎠᎵᏣᏙᎲᏍᎩ.,Uhyvdli iga dudawov ahljadohvsgi.,The preacher performed baptism on a cold day.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
566,ced,ᎪᎯᏓ ᏚᏪᏘᏅ ᎩᎳ ᏚᏓᏲᏒᎢ.,Gohida duwetinv kila dudayosvi.,"He lasted a long time, then he gave up.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
567,ced,ᎪᎩ ᏓᎾᏕᏠᏆᏍᎬ ᏓᏕᏲᎲᏍᎪᎢ.,Gogi danadehlohgwasgv dadehyohvsgoi.,She teaches summer school.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
568,ced,"ᏩᏍᏆᎳᎯᏴ ᎤᏓᏡᎬ ᎦᎸᏉᏗ ᎪᏪᎵ, ᏥᏌ ᏚᏠᎯᎸᎢ, ᎠᏗᎭ.","Wasgwalahiyv udahlgv Galvkwdi Gohweli, Jisa dudlohilvi, adiha.","The shortest verse in the bible says, Jesus wept.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
569,ced,ᏧᏂᎳᏫᏍᏗ ᏕᎨᎦᏨᏍᏔᏅ ᏐᎢ ᏥᎧᎸᎢ.,Junilawisdi degegachvstanv soi jikalvi.,They were married in a chapel last month.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
570,ced,ᏗᏯᎵᏗ ᏓᏃᏢᏅᏗᏍᎪᎢ ᏓᎬᎾ.,Dihyahldi danohlvndisgoi dagvna.,They make necklaces out of pearls.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
571,ced,ᏂᎦᎵᏍᏔᏅᏊ ᎢᎦ ᏕᎯᎬᏩᎶᏔᏅ ᎬᏯᏈᏴᎡᎸᎢ.,Nigalstanvgwu iga dehigvwahltanv gvyagwiyvelvi.,"Whatever price you set, I'll pay you.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
572,ced,"ᏗᎦᏚᎲ ᏫᎦᎷᏨ ᎠᏍᎦᏯ, ᏓᏆᎴᎳ ᏓᏳᏩᏏ.","Digaduhv wigaluhjv asgaya, dagwalela dayuhwasi.","When he gets to town, the man is going to buy a car.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
573,ced,ᎦᏍᎩᎶ ᏗᏟᎨᏍᎩ ᎤᏩᏌ ᏓᏟᎨᏍᎬ ᎤᎪᎲᎢ.,Gasgilo dihlihgesgi uwasa dahlihgesgv ugohvi.,She saw a rocking chair rocking by itself.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
574,ced,ᏲᎾ ᏚᏟᎶᏍᏔᏅᎢ.,Yona duhlilostanvi.,He drew a picture of a bear.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
575,ced,ᏗᏟᏃᎮᏗ ᏕᎦᎵᏃᎮᏍᎬᎢ.,Dihlinohehdi degalinohesgvi.,I was conversing on the phone.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
576,ced,ᎯᎳ ᎢᏯᎦᎸᎳᏗ ᎡᎵᏊ ᏱᏕᎭliᏔᏚᎦ?,Hila iyagalvladi eligwu yidehahltaduga?,How high can you jump?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
577,ced,ᎢᎸᎯᏳᎢᏍ ᏙᎢ ᏂᏓᎦᎵᏍᏔᏂ ᎮᎵ ᏓᎿᏩ?,Ilvhiyuis toi nidagalstani heli dahnawa?,Do you think that war will ever cease?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
578,ced,ᏗᎦᏚᎵᏓ ᏚᏄᏮ ᏚᎿᏩᎢᏴᏒᎢ.,Digadulida duhnuwv duhnawaiyvsvi.,He changed his wet clothes.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
579,ced,ᏕᎦᏂᏪᎠ ᎠᎩᏒᏍᏗ ᎤᎬᏩᏟ.,Deganiwea aksvsdi ugvwahli.,I am undressing to go to sleep.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
580,ced,ᏧᏓᏅᎦᎸᏓ ᏔᎿᏬᏣ.,Judanvgalvda tahnawoja.,Put on some clean clothes.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
581,ced,ᏓᏄᎪ ᎾᎥ ᎪᏢ ᎦᏘᏲᎢ?,Dahnugo naɁv gohlv gatiyoɁi?,Is there a stompground near Vian?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
582,ced,ᏗᏤ ᎠᏓ ᏚᎲᏔᏅ ᎣᏏᎢ.,Dije ada duhvtanv osii.,He put green wood into the stove.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
583,ced,ᏞᏍᏗ ᏥᏙᏍᎩᏴᎩ ᎦᎵᏍᏓᏴᎲᏍᎬᎢ.,Hlesdi jidoskiyvgi galisdayvhvsgvi.,Don't tickle me while I'm eating.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
584,ced,ᎦᏙ ᎤᏍᏗ ᏓᏤᏝ?,Gado usdi dajehla?,Which one is better?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
585,ced,ᎤᏄᎸᏅ ᏧᎴᏗ ᏕᎦᏥᏡᎬᎢ.,Unulvhnv julehdi degajihlgvi.,He couldn’t get up from a squatting position.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
586,ced,ᏓᏆᎸᏌᏛ ᏓᎩᎧᏁᎮᎭ.,Dakwalvsadv dagikaneheha.,He is tying my shoe laces for me.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
587,ced,ᏚᎳᏑᏢ ᏚᎧᏁᏴᎲ ᏚᎳᏑᎴᏌ.,Dulasuhlv dukanehyvhv dulasulesa.,He untied his shoes when he took them off.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
588,ced,ᎦᎪ ᏕᏣᎧᏃᏩᏗᏙᎭ?,Gago dejakanowadidoha?,Who is looking after you?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
589,ced,ᎪᎯᏓ ᎤᎵᏏᎬ ᏴᏯᎠ ᏱᏛᎨᏩᎩ.,Gohida ulsihgv yvyaa yidvkewagi.,"If you're in the dark for a long time, you'll become blind.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
590,ced,ᏓᎩᏏ ᏅᏃᎯ ᏚᎾᏗᏫᏏᏗᏒ ᏥᎪᏩᏔ.,Daksi nvnohi dunadiwsidisv jigowahta.,I saw a terrapin crossing the road.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
591,ced,ᎤᏯᏅ ᎬᏗ ᎤᏍᏚᎢᏒ ᏓᎩᏏ.,Uyanu gvhdi usduisv daksi.,He opened the lock with a wire.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
592,ced,ᏗᎾᎦᎵᏍᎩ ᏧᏯᏅ ᏚᎦᏒᏍᏔᏅ ᏚᏖᏴᏌ.,Dinagalisgi juyanv duksvstanv duteyvsa.,The electrical wires smoked when they became hot.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
593,ced,ᏚᎦᎳᏁᏒ ᎢᏳᏍᏗ ᏓᎦᏔᎾᏩᏍᎬᎢ.,Duklanesv iyusdi daktanawsgvi.,She was blinking because she had tears in her eyes.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
